,Unnamed: 0,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,src
19,19,15,Mega Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45,70,223,Medium Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,beedrill-mega.png
20,20,16,Pidgey,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,70,50,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,pidgey.png
21,21,17,Pidgeotto,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,70,122,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,pidgeotto.png
22,22,18,Pidgeot,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,70,216,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,pidgeot.png
23,23,18,Mega Pidgeot,1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,45,70,261,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,pidgeot-mega.png
24,24,19,Rattata,1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,rattata.png
25,25,19,Alolan Rattata,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,rattata-alolan.png
26,26,20,Raticate,1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,70,145,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,raticate.png
27,27,20,Alolan Raticate,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,70,145,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,raticate-alolan.png
28,28,21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,70,52,Medium Fast,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,spearow.png
29,29,22,Fearow,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,70,155,Medium Fast,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,fearow.png
30,30,23,Ekans,1,Normal,Snake Pokémon,1,Poison,,2,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,70,58,Medium Fast,2,Dragon,Field,50,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,ekans.png
31,31,24,Arbok,1,Normal,Cobra Pokémon,1,Poison,,3.5,65,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,70,157,Medium Fast,2,Dragon,Field,50,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,arbok.png
32,32,25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190,70,112,Medium Fast,2,Fairy,Field,50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,pikachu.png
33,33,25,Partner Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,1,,,Lightning Rod,430,45,80,50,75,60,120,190,70,112,Medium Fast,0,,,50,10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,pikachu-lets-go.png
34,34,26,Raichu,1,Normal,Mouse Pokémon,1,Electric,,0.8,30,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75,70,218,Medium Fast,2,Fairy,Field,50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,raichu.png
35,35,26,Alolan Raichu,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21,1,Surge Surfer,,,485,60,85,50,95,85,110,75,70,218,Medium Fast,2,Fairy,Field,50,10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,raichu-alolan.png
36,36,27,Sandshrew,1,Normal,Mouse Pokémon,1,Ground,,0.6,12,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,70,60,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,sandshrew.png
37,37,27,Alolan Sandshrew,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255,70,60,Medium Fast,1,Field,,50,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,sandshrew-alolan.png
38,38,28,Sandslash,1,Normal,Mouse Pokémon,1,Ground,,1,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,70,158,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,sandslash.png
39,39,28,Alolan Sandslash,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90,70,158,Medium Fast,1,Field,,50,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,sandslash-alolan.png
40,40,29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,70,55,Medium Slow,2,Field,Monster,0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,nidoran-f.png
41,41,30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,70,128,Medium Slow,1,Undiscovered,,0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,nidorina.png
42,42,31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,70,227,Medium Slow,1,Undiscovered,,0,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,nidoqueen.png
43,43,32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,70,55,Medium Slow,2,Field,Monster,100,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,nidoran-m.png
44,44,33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,70,128,Medium Slow,2,Field,Monster,100,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,nidorino.png
45,45,34,Nidoking,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,70,227,Medium Slow,2,Field,Monster,100,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,nidoking.png
46,46,35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150,140,113,Fast,1,Fairy,,25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,clefairy.png
47,47,36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25,140,217,Fast,1,Fairy,,25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,clefable.png
48,48,37,Vulpix,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,vulpix.png
49,49,37,Alolan Vulpix,1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,vulpix-alolan.png
50,50,38,Ninetales,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75,70,177,Medium Fast,1,Field,,25,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,ninetales.png
51,51,38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75,70,177,Medium Fast,1,Field,,25,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,ninetales-alolan.png
52,52,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170,70,95,Fast,1,Fairy,,25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,jigglypuff.png
53,53,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,1,12,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50,70,196,Fast,1,Fairy,,25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,wigglytuff.png
54,54,41,Zubat,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255,70,49,Medium Fast,1,Flying,,50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,zubat.png
55,55,42,Golbat,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90,70,159,Medium Fast,1,Flying,,50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,golbat.png
56,56,43,Oddish,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255,70,64,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,oddish.png
57,57,44,Gloom,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120,70,138,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,gloom.png
58,58,45,Vileplume,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45,70,221,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,vileplume.png
59,59,46,Paras,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190,70,57,Medium Fast,2,Bug,Grass,50,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,paras.png
60,60,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,Grass,1,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75,70,142,Medium Fast,2,Bug,Grass,50,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,parasect.png
61,61,48,Venonat,1,Normal,Insect Pokémon,2,Bug,Poison,1,30,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190,70,61,Medium Fast,1,Bug,,50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,venonat.png
62,62,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75,70,158,Medium Fast,1,Bug,,50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,venomoth.png
63,63,50,Diglett,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255,70,53,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,diglett.png
64,64,50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255,70,53,Medium Fast,1,Field,,50,20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,diglett-alolan.png
65,65,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50,70,149,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,dugtrio.png
66,66,51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50,70,149,Medium Fast,1,Field,,50,20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,dugtrio-alolan.png
67,67,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255,70,58,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,meowth.png
68,68,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255,70,58,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,meowth-alolan.png
69,69,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,,,,Medium Fast,1,Field,,,20,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,meowth-galarian.png
70,70,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,,1,32,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90,70,154,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,persian.png
71,71,53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,,1.1,33,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90,70,154,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,persian-alolan.png
72,72,54,Psyduck,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190,70,64,Medium Fast,2,Field,Water 1,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,psyduck.png
73,73,55,Golduck,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75,70,175,Medium Fast,2,Field,Water 1,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,golduck.png
74,74,56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190,70,61,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,mankey.png
75,75,57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,,1,32,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75,70,159,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,primeape.png
76,76,58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,,0.7,19,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190,70,70,Slow,1,Field,,75,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,growlithe.png
77,77,59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,,1.9,155,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75,70,194,Slow,1,Field,,75,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,arcanine.png
78,78,60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255,70,60,Medium Slow,1,Water 1,,50,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,poliwag.png
79,79,61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,,1,20,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120,70,135,Medium Slow,1,Water 1,,50,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,poliwhirl.png
80,80,62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45,70,230,Medium Slow,1,Water 1,,50,20,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,poliwrath.png
81,81,63,Abra,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200,70,62,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,abra.png
82,82,64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100,70,140,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,kadabra.png
83,83,65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,,1.5,48,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,50,70,225,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,alakazam.png
84,84,65,Mega Alakazam,1,Normal,Psi Pokémon,1,Psychic,,1.2,48,1,Trace,,,600,55,50,65,175,105,150,50,70,270,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,alakazam-mega.png
85,85,66,Machop,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,180,70,61,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,machop.png
86,86,67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,90,70,142,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,machoke.png
87,87,68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130,3,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,45,70,227,Medium Slow,1,Human-Like,,75,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,machamp.png
